fetched_at,icao24,callsign,origin_country,latitude,longitude,baro_altitude_ft,velocity_kmh,vertical_rate_fpm,phase,squawk
2026-06-14 16:20:34,39de43,TVF35DL,France,50.1162,10.1915,37975.0,679.6,65.0,CRUISE,1000
2026-06-14 16:20:34,44028c,EJU394K,Austria,48.6725,7.5718,7775.0,559.1,-1600.0,DESCENDING,1000
2026-06-14 16:20:34,4bc8c3,PGT77PX,Turkey,49.0367,10.1659,35025.0,963.3,-65.0,CRUISE,0101
2026-06-14 16:20:34,511170,MBU2QV,Estonia,50.7767,11.1168,26300.0,717.8,1728.0,CLIMBING,1000
2026-06-14 16:20:34,4bc8d2,PGT839Q,Turkey,47.1778,14.5852,36050.0,747.4,0.0,CRUISE,4506
2026-06-14 16:20:34,44029f,AUA21E,Austria,50.3931,10.9586,24000.0,588.5,0.0,CRUISE,1000
2026-06-14 16:20:34,3c5ef0,EWG7XR,Germany,50.4519,8.6772,27600.0,931.2,1856.0,CLIMBING,7705
2026-06-14 16:20:34,50040a,EJO1X,,47.9721,10.9153,43000.0,784.4,65.0,CRUISE,3555
2026-06-14 16:20:34,46b821,AEE510,Greece,48.5386,10.3146,15625.0,605.8,-1919.0,DESCENDING,7425
2026-06-14 16:20:34,46b823,AEE6TH,Greece,48.319,10.5124,35975.0,716.8,0.0,CRUISE,1000
2026-06-14 16:20:34,4acb5a,SAS2697,Sweden,47.132,11.7364,29000.0,783.1,-65.0,CRUISE,0766
2026-06-14 16:20:34,4aca84,NSZ2940,Sweden,50.7657,12.3657,39000.0,874.2,0.0,CRUISE,6001
2026-06-14 16:20:34,4aca86,NSZ5352,Sweden,48.8869,10.861,36000.0,853.7,0.0,CRUISE,1000
2026-06-14 16:20:34,4aca89,NSZ9WP,Sweden,53.3317,9.3425,36000.0,837.1,0.0,CRUISE,3533
2026-06-14 16:20:34,4aca90,NOZ72C,Sweden,49.6083,11.542,39000.0,890.7,0.0,CRUISE,0751
2026-06-14 16:20:34,3d385c,DETPC,Germany,51.145,9.395,6700.0,377.2,-512.0,DESCENDING,5012
