fetched_at,icao24,callsign,origin_country,latitude,longitude,baro_altitude_ft,velocity_kmh,vertical_rate_fpm,phase,squawk
2026-06-14 16:07:29,aa9300,UAL927,United States,50.5341,7.5267,20150.0,677.7,1791.0,CLIMBING,2547
2026-06-14 16:07:29,39de43,TVF35DL,France,50.2174,12.2902,34900.0,663.9,1024.0,CLIMBING,1000
2026-06-14 16:07:29,4acb03,NSZ2058,Sweden,50.0596,14.3451,2300.0,267.8,-768.0,DESCENDING,7362
2026-06-14 16:07:29,4bc8c3,PGT77PX,Turkey,49.8562,7.5191,34950.0,971.2,512.0,CLIMBING,0101
2026-06-14 16:07:29,44029f,AUA21E,Austria,49.9795,12.8127,32000.0,672.0,0.0,CRUISE,1000
2026-06-14 16:07:29,3c5ee6,EWG7DB,Germany,53.3964,10.5035,10250.0,507.2,-705.0,DESCENDING,3126
2026-06-14 16:07:29,4acb23,NSZ3747,Sweden,52.0803,11.4383,39025.0,807.5,0.0,CRUISE,7362
2026-06-14 16:07:29,3c5eea,EWG2774,Germany,48.627,7.4242,31150.0,721.7,1280.0,CLIMBING,4115
2026-06-14 16:07:29,46b821,AEE510,Greece,47.9924,12.1685,28000.0,696.9,0.0,CRUISE,7425
2026-06-14 16:07:29,46b823,AEE6TH,Greece,47.3527,12.1279,36000.0,736.9,-65.0,CRUISE,1000
2026-06-14 16:07:29,4acb5a,SAS2697,Sweden,48.7819,11.8731,36300.0,853.0,-1089.0,DESCENDING,0766
2026-06-14 16:07:29,44021f,OEAGA,Austria,48.7924,10.9589,3150.0,184.8,-65.0,LOW ALT,4453
2026-06-14 16:07:29,3ffbb1,DMEBC,Germany,48.0558,9.3676,1725.0,0.0,-65.0,LOW ALT,
2026-06-14 16:07:29,4aca84,NSZ2940,Sweden,52.3691,13.3124,38000.0,861.6,0.0,CRUISE,6001
2026-06-14 16:07:29,4aca86,NSZ5352,Sweden,47.3981,9.6471,36000.0,853.6,0.0,CRUISE,1000
2026-06-14 16:07:29,4aca90,NOZ72C,Sweden,51.3889,11.371,39000.0,909.3,193.0,CRUISE,0756
2026-06-14 16:07:29,3d385c,DETPC,Germany,50.7531,8.5109,11725.0,368.7,-512.0,DESCENDING,5012
2026-06-14 16:07:29,471f6b,WZZ93,Hungary,49.3776,10.4358,34000.0,758.4,0.0,CRUISE,1000
2026-06-14 16:07:29,471f69,WMT1969,Hungary,49.4978,13.8512,35025.0,1018.0,-65.0,CRUISE,1000
2026-06-14 16:07:29,407b54,WUK735,United Kingdom,51.2628,10.0184,36050.0,680.9,0.0,CRUISE,0624
2026-06-14 16:07:29,505ceb,TOM5762,Slovakia,49.4489,7.4383,37000.0,955.0,0.0,CRUISE,3457
2026-06-14 16:07:29,47a039,NOZ57GW,Norway,48.3589,11.7121,3200.0,392.5,1217.0,CLIMBING,6443
2026-06-14 16:07:29,407b8f,BAW899,United Kingdom,49.7489,7.5493,38025.0,681.2,-65.0,CRUISE,7543
2026-06-14 16:07:29,4aca04,NSZ5330,Sweden,52.8929,8.0373,38000.0,820.9,0.0,CRUISE,5353
2026-06-14 16:07:29,4aca0c,NSZ4BV,Sweden,49.2126,9.3844,36000.0,800.2,0.0,CRUISE,1000
2026-06-14 16:07:29,4aca72,SAS1793,Sweden,50.8226,9.1662,35000.0,821.3,65.0,CRUISE,0757
2026-06-14 16:07:29,4aca4f,NSZ4357,Sweden,52.8511,13.8641,37000.0,888.6,0.0,CRUISE,1000
2026-06-14 16:07:29,3d2491,DEMCF,Germany,49.2765,8.4968,1000.0,165.4,-65.0,LOW ALT,7000
2026-06-14 16:07:29,4401d1,EJU38DP,Austria,52.4192,13.9837,7800.0,482.7,-833.0,DESCENDING,6623
2026-06-14 16:07:29,4401d3,OEDFC,Austria,48.1868,8.504,4450.0,171.7,65.0,LOW ALT,1157
2026-06-14 16:07:29,4bc88e,PGT38QJ,Turkey,49.1034,12.7141,33050.0,1004.7,0.0,CRUISE,6424
2026-06-14 16:07:29,4bc89a,PGT78DG,Turkey,47.6597,7.6106,35000.0,906.2,0.0,CRUISE,7553
2026-06-14 16:07:29,3d1186,DEEWS,Germany,50.9671,9.0853,3575.0,251.9,0.0,LOW ALT,7743
2026-06-14 16:07:29,4bc887,PGT1158,Turkey,47.625,14.096,35025.0,967.5,0.0,CRUISE,2272
2026-06-14 16:07:29,3d34d5,DESGJ,Germany,48.0912,9.0656,4500.0,129.3,65.0,LOW ALT,4251
2026-06-14 16:07:29,48d002,SPWAC,Poland,48.7217,13.7364,24000.0,351.6,0.0,CRUISE,0246
2026-06-14 16:07:29,4068cb,EXS411,United Kingdom,48.1974,9.5091,33000.0,856.3,0.0,CRUISE,7507
2026-06-14 16:07:29,3e67fd,DKEOR,Germany,48.2276,11.4292,1650.0,108.7,-65.0,LOW ALT,7000
2026-06-14 16:07:29,440052,AUA165Z,Austria,51.4121,7.4152,9400.0,492.8,-1600.0,DESCENDING,1000
2026-06-14 16:07:29,a9fa2a,N742C,United States,50.7605,12.8658,1825.0,182.1,-1024.0,DESCENDING,
2026-06-14 16:07:29,44006d,AUA405,Austria,47.0954,13.3443,34000.0,764.5,0.0,CRUISE,1000
2026-06-14 16:07:29,440087,OEDKA,Austria,50.6583,7.1692,2300.0,193.6,512.0,CLIMBING,4451
2026-06-14 16:07:29,440073,EJU43FB,Austria,51.0365,8.3376,37975.0,706.0,0.0,CRUISE,1000
2026-06-14 16:07:29,440017,OEANN,Austria,47.4182,9.6822,2175.0,151.9,128.0,LOW ALT,7000
2026-06-14 16:07:29,440036,EJU59FK,Austria,47.6323,11.5987,29975.0,842.3,65.0,CRUISE,1000
2026-06-14 16:07:29,4891ad,ENT429,Poland,48.0912,9.4299,37000.0,922.5,0.0,CRUISE,3462
2026-06-14 16:07:29,471d63,WZZ3GV,Hungary,51.9136,14.3053,13375.0,447.2,-1024.0,DESCENDING,5146
2026-06-14 16:07:29,4b0dd0,HUE12P,Switzerland,47.4474,8.6938,3125.0,248.1,-449.0,DESCENDING,1000
2026-06-14 16:07:29,a748ec,LXJ569,United States,47.5296,8.9907,5925.0,416.5,0.0,LOW ALT,7321
2026-06-14 16:07:29,440184,AUA7K,Austria,50.1216,11.614,38000.0,771.1,0.0,CRUISE,6603
2026-06-14 16:07:29,47878d,NOZ1610,Norway,47.382,7.674,5975.0,350.4,-1407.0,DESCENDING,0762
2026-06-14 16:07:29,45caa1,DTR197,Denmark,48.9418,11.7186,17975.0,413.2,0.0,CRUISE,1000
2026-06-14 16:07:29,3d489c,DEZTC,Germany,49.7062,9.9509,2900.0,228.9,65.0,LOW ALT,
2026-06-14 16:07:29,403144,GBSDH,United Kingdom,50.1741,7.6637,3600.0,208.7,-65.0,LOW ALT,4451
2026-06-14 16:07:29,4bb292,THY3PH,Turkey,50.7499,7.7909,8175.0,494.0,-1089.0,DESCENDING,3106
2026-06-14 16:07:29,44cdce,BEL2HJ,Belgium,52.643,12.2937,16250.0,645.0,-1728.0,DESCENDING,1000
2026-06-14 16:07:29,44cdcc,BEL5UC,Belgium,49.8395,7.2027,24000.0,617.8,0.0,CRUISE,1000
2026-06-14 16:07:29,4bb26e,THY1UP,Turkey,48.1009,12.6156,11175.0,538.7,-1535.0,DESCENDING,1000
2026-06-14 16:07:29,4bb287,THY3ZA,Turkey,52.3484,13.9316,8975.0,488.7,256.0,LOW ALT,1000
2026-06-14 16:07:29,4bb282,THY3UY,Turkey,47.719,8.9979,10575.0,426.5,-961.0,DESCENDING,6040
2026-06-14 16:07:29,506ca3,RMB1,Slovenia,47.5903,7.8463,39000.0,846.4,65.0,CRUISE,2367
2026-06-14 16:07:29,3d32cd,DERMJ,Germany,52.1553,9.9021,1825.0,183.3,449.0,CLIMBING,7000
2026-06-14 16:07:29,506cab,RMB3,Slovenia,49.2896,12.5582,38000.0,666.0,0.0,CRUISE,0605
2026-06-14 16:07:29,8005f2,AIC155,India,51.101,8.9535,43000.0,843.8,-65.0,CRUISE,1000
2026-06-14 16:07:29,3d476c,DEZHK,Germany,47.8354,7.6416,1200.0,96.3,-65.0,LOW ALT,
2026-06-14 16:07:29,44ce61,BEL8UK,Belgium,50.1281,7.6885,13275.0,669.5,-896.0,DESCENDING,1000
2026-06-14 16:07:29,80073d,AIC113,India,48.8829,8.1608,39975.0,780.0,-65.0,CRUISE,3562
2026-06-14 16:07:29,8963e6,UAE70M,United Arab Emirates,48.7296,13.2361,41000.0,806.4,0.0,CRUISE,0532
2026-06-14 16:07:29,4067f7,TOM4GE,United Kingdom,50.8498,7.3155,42975.0,837.4,0.0,CRUISE,3563
2026-06-14 16:07:29,4ac9f0,SAS71T,Sweden,50.6698,12.0114,38950.0,864.1,-65.0,CRUISE,0731
2026-06-14 16:07:29,4d02b7,JFA30M,Luxembourg,47.5767,9.6459,22000.0,579.9,0.0,CRUISE,5713
2026-06-14 16:07:29,896464,ETD47,United Arab Emirates,47.2852,10.757,37975.0,807.3,65.0,CRUISE,7540
2026-06-14 16:07:29,896442,ETD917,United Arab Emirates,51.5735,9.1215,34000.0,749.6,0.0,CRUISE,3207
2026-06-14 16:07:29,4064a4,TOM1WY,United Kingdom,48.9616,10.7886,37000.0,977.1,0.0,CRUISE,3444
2026-06-14 16:07:29,4bb074,THY9VA,Turkey,52.4844,10.68,13375.0,513.9,-2047.0,DESCENDING,1000
2026-06-14 16:07:29,3ff9f0,DMWTN,Germany,49.8105,8.6837,2875.0,197.1,-256.0,LOW ALT,4450
2026-06-14 16:07:29,4b1e69,HBLNL,Switzerland,47.1772,7.4796,2225.0,224.0,-256.0,LOW ALT,7000
2026-06-14 16:07:29,461f9b,FIN5DL,Finland,49.7091,9.0092,35000.0,825.2,0.0,CRUISE,1000
2026-06-14 16:07:29,3e781a,DKKRI,Germany,48.1854,9.4157,6075.0,198.5,-65.0,LOW ALT,7000
2026-06-14 16:07:29,896596,ETD71M,United Arab Emirates,47.4216,11.9689,37000.0,1016.5,-65.0,CRUISE,2714
