fetched_at,icao24,callsign,origin_country,latitude,longitude,baro_altitude_ft,velocity_kmh,vertical_rate_fpm,phase,squawk
2026-06-14 16:14:01,39de43,TVF35DL,France,50.1829,11.256,37650.0,697.5,640.0,CLIMBING,1000
2026-06-14 16:14:01,4bc8c3,PGT77PX,Turkey,49.5258,8.9122,35025.0,967.6,-65.0,CRUISE,0101
2026-06-14 16:14:01,511170,MBU2QV,Estonia,51.2387,11.8897,11925.0,615.9,1600.0,CLIMBING,1000
2026-06-14 16:14:01,44029f,AUA21E,Austria,50.2498,11.8736,30050.0,679.6,-384.0,CRUISE,1000
2026-06-14 16:14:01,4acb23,NSZ3747,Sweden,52.8969,11.4529,38125.0,829.8,-961.0,DESCENDING,7362
2026-06-14 16:14:01,3c5ef0,EWG7XR,Germany,50.7339,7.4621,13300.0,703.6,3264.0,CLIMBING,7705
2026-06-14 16:14:01,50040a,EJO1X,,47.4849,11.8163,43000.0,787.3,0.0,CRUISE,3555
2026-06-14 16:14:01,46b821,AEE510,Greece,48.2866,11.1881,25650.0,663.4,-961.0,DESCENDING,7425
2026-06-14 16:14:01,46b823,AEE6TH,Greece,47.8418,11.3225,36025.0,741.2,0.0,CRUISE,1000
2026-06-14 16:14:01,4acb5a,SAS2697,Sweden,47.9376,11.811,35625.0,840.0,-961.0,DESCENDING,0766
2026-06-14 16:14:01,3ffbb1,DMEBC,Germany,48.0558,9.3679,1725.0,0.0,-65.0,LOW ALT,
2026-06-14 16:14:01,4aca84,NSZ2940,Sweden,51.6126,12.6788,38000.0,856.3,-65.0,CRUISE,6001
2026-06-14 16:14:01,4aca86,NSZ5352,Sweden,48.1678,10.1926,36000.0,854.0,0.0,CRUISE,1000
2026-06-14 16:14:01,4aca90,NOZ72C,Sweden,50.4979,11.4583,39000.0,894.2,0.0,CRUISE,0751
2026-06-14 16:14:01,3d385c,DETPC,Germany,51.0298,8.8248,10000.0,350.1,65.0,CRUISE,5012
2026-06-14 16:14:01,3d254e,DEMJM,Germany,48.4148,7.8678,2325.0,225.3,193.0,LOW ALT,
2026-06-14 16:14:01,471f6b,WZZ93,Hungary,48.8301,9.6415,35000.0,767.8,0.0,CRUISE,1000
2026-06-14 16:14:01,3945bc,FJBIJ,France,48.096,7.7448,2275.0,176.9,0.0,LOW ALT,
2026-06-14 16:14:01,407b54,WUK735,United Kingdom,51.4209,8.9649,36000.0,685.4,0.0,CRUISE,0624
2026-06-14 16:14:01,505ceb,TOM5762,Slovakia,49.0074,8.7269,37000.0,953.7,0.0,CRUISE,3457
2026-06-14 16:14:01,47a039,NOZ57GW,Norway,48.8707,12.0081,19950.0,773.7,2047.0,CLIMBING,6443
2026-06-14 16:14:01,407b8b,WUK2UC,United Kingdom,51.4356,14.7327,36000.0,745.6,0.0,CRUISE,3553
2026-06-14 16:14:01,4aca0c,NSZ4BV,Sweden,49.9938,9.5725,36000.0,792.9,0.0,CRUISE,1000
2026-06-14 16:14:01,4aca72,SAS1793,Sweden,50.0319,8.7956,35000.0,850.8,0.0,CRUISE,0757
2026-06-14 16:14:01,4aca4f,NSZ4357,Sweden,51.9617,13.7076,37000.0,903.6,-65.0,CRUISE,1000
2026-06-14 16:14:01,3d2491,DEMCF,Germany,49.2901,8.4577,300.0,107.4,-65.0,LOW ALT,7000
2026-06-14 16:14:01,4bc855,PGT56HD,Turkey,49.9555,8.5543,2475.0,403.1,3264.0,CLIMBING,7707
2026-06-14 16:14:01,4401d1,EJU38DP,Austria,52.4084,13.6574,2025.0,260.4,-705.0,DESCENDING,6623
2026-06-14 16:14:01,4401d3,OEDFC,Austria,48.1294,8.2701,4950.0,175.2,0.0,LOW ALT,4452
2026-06-14 16:14:01,4bc88e,PGT38QJ,Turkey,48.6448,14.051,33075.0,995.0,0.0,CRUISE,6424
2026-06-14 16:14:01,4bc89a,PGT78DG,Turkey,47.1428,8.7012,35025.0,903.3,0.0,CRUISE,7553
