fetched_at,icao24,callsign,origin_country,latitude,longitude,baro_altitude_ft,velocity_kmh,vertical_rate_fpm,phase,squawk
2026-06-14 16:20:04,39de43,TVF35DL,France,50.1225,10.2857,37975.0,677.6,65.0,CRUISE,1000
2026-06-14 16:20:04,44028c,EJU394K,Austria,48.6491,7.5039,8700.0,567.4,-1600.0,DESCENDING,1000
2026-06-14 16:20:04,4bc8c3,PGT77PX,Turkey,49.0796,10.0508,35025.0,961.1,0.0,CRUISE,0101
2026-06-14 16:20:04,511170,MBU2QV,Estonia,50.8216,11.1908,25250.0,713.8,1728.0,CLIMBING,1000
2026-06-14 16:20:04,4bc8d2,PGT839Q,Turkey,47.1205,14.6367,36025.0,747.4,0.0,CRUISE,4506
2026-06-14 16:20:04,44029f,AUA21E,Austria,50.3808,11.0393,24000.0,586.7,0.0,CRUISE,1000
2026-06-14 16:20:04,3c5ef0,EWG7XR,Germany,50.4808,8.5554,26575.0,918.9,1791.0,CLIMBING,7705
2026-06-14 16:20:04,50040a,EJO1X,,47.9283,10.9976,43000.0,785.6,65.0,CRUISE,3555
2026-06-14 16:20:04,46b821,AEE510,Greece,48.5173,10.3898,16950.0,715.4,0.0,CRUISE,7425
2026-06-14 16:20:04,46b823,AEE6TH,Greece,48.2771,10.5846,35975.0,715.4,0.0,CRUISE,1000
2026-06-14 16:20:04,4acb5a,SAS2697,Sweden,47.2011,11.7595,29000.0,805.0,0.0,CRUISE,0766
2026-06-14 16:20:04,4aca84,NSZ2940,Sweden,50.8439,12.3872,38975.0,885.4,-65.0,CRUISE,1000
2026-06-14 16:20:04,4aca86,NSZ5352,Sweden,48.8221,10.7972,36000.0,853.3,0.0,CRUISE,1000
2026-06-14 16:20:04,4aca89,NSZ9WP,Sweden,53.3859,9.4286,36000.0,838.4,0.0,CRUISE,3533
2026-06-14 16:20:04,4aca90,NOZ72C,Sweden,49.6886,11.5345,39000.0,892.3,0.0,CRUISE,0751
2026-06-14 16:20:04,3d385c,DETPC,Germany,51.1346,9.3434,7000.0,383.0,-512.0,DESCENDING,5012
