fetched_at,icao24,callsign,origin_country,latitude,longitude,baro_altitude_ft,velocity_kmh,vertical_rate_fpm,phase,squawk
2026-06-14 16:17:03,39de43,TVF35DL,France,50.1521,10.7398,38000.0,694.2,0.0,CRUISE,1000
2026-06-14 16:17:03,44028c,EJU394K,Austria,48.5278,7.1539,12850.0,652.8,-1728.0,DESCENDING,1000
2026-06-14 16:17:03,4bc8c3,PGT77PX,Turkey,49.3078,9.5253,34975.0,961.6,0.0,CRUISE,0101
2026-06-14 16:17:03,511170,MBU2QV,Estonia,51.0264,11.5317,19600.0,687.8,2240.0,CLIMBING,1000
2026-06-14 16:17:03,44029f,AUA21E,Austria,50.3213,11.423,26100.0,594.7,-1472.0,DESCENDING,1000
2026-06-14 16:17:03,4acb23,NSZ3747,Sweden,53.286,11.4596,36025.0,816.8,0.0,CRUISE,7362
2026-06-14 16:17:03,3c5ef0,EWG7XR,Germany,50.6103,8.0029,21325.0,829.6,2368.0,CLIMBING,7705
2026-06-14 16:17:03,50040a,EJO1X,,47.7169,11.391,43000.0,786.4,0.0,CRUISE,3555
2026-06-14 16:17:03,46b821,AEE510,Greece,48.4104,10.7631,21825.0,642.0,-1535.0,DESCENDING,7425
2026-06-14 16:17:03,46b823,AEE6TH,Greece,48.0732,10.9327,36025.0,730.9,-65.0,CRUISE,1000
2026-06-14 16:17:03,4acb5a,SAS2697,Sweden,47.5476,11.7833,32200.0,793.5,-1344.0,DESCENDING,0766
2026-06-14 16:17:03,4aca84,NSZ2940,Sweden,51.2192,12.49,39000.0,889.1,0.0,CRUISE,6001
2026-06-14 16:17:03,4aca86,NSZ5352,Sweden,48.5134,10.5031,36000.0,847.9,0.0,CRUISE,1000
2026-06-14 16:17:03,4aca90,NOZ72C,Sweden,50.0728,11.4992,39000.0,901.8,-65.0,CRUISE,0751
2026-06-14 16:17:03,3d385c,DETPC,Germany,51.084,9.0948,8675.0,383.6,-640.0,DESCENDING,5012
2026-06-14 16:17:03,3d254e,DEMJM,Germany,48.5138,7.9478,2425.0,216.4,512.0,CLIMBING,
2026-06-14 16:17:03,471f6b,WZZ93,Hungary,48.5641,9.2646,34975.0,769.2,0.0,CRUISE,1000
2026-06-14 16:17:03,3945bc,FJBIJ,France,48.0888,7.7423,2675.0,174.2,256.0,LOW ALT,
2026-06-14 16:17:03,407b54,WUK735,United Kingdom,51.4819,8.4488,36025.0,700.7,0.0,CRUISE,0624
2026-06-14 16:17:03,505ceb,TOM5762,Slovakia,48.7938,9.3283,37000.0,946.4,0.0,CRUISE,3457
2026-06-14 16:17:03,47a039,NOZ57GW,Norway,49.2058,12.2965,26500.0,845.4,1728.0,CLIMBING,6443
2026-06-14 16:17:03,407b8b,WUK2UC,United Kingdom,51.5075,14.1783,36000.0,755.9,65.0,CRUISE,3553
2026-06-14 16:17:03,3c4b4b,EWG80E,Germany,48.289,11.71,4725.0,446.5,3841.0,CLIMBING,1000
2026-06-14 16:17:03,4aca0c,NSZ4BV,Sweden,50.365,9.6643,36000.0,793.2,0.0,CRUISE,5353
2026-06-14 16:17:03,4aca72,SAS1793,Sweden,49.6321,8.7124,35000.0,847.9,0.0,CRUISE,0757
2026-06-14 16:17:03,4aca4f,NSZ4357,Sweden,51.5402,13.6358,37000.0,891.9,0.0,CRUISE,1000
2026-06-14 16:17:03,4bc856,PGT49PK,Turkey,51.9158,14.8704,16400.0,565.2,-2175.0,DESCENDING,1000
2026-06-14 16:17:03,4bc855,PGT56HD,Turkey,49.8453,8.8631,9375.0,586.8,2880.0,CLIMBING,7707
2026-06-14 16:17:03,4401d3,OEDFC,Austria,48.1361,8.1552,5050.0,171.6,0.0,LOW ALT,4452
2026-06-14 16:17:03,4bc88e,PGT38QJ,Turkey,48.4237,14.6782,33025.0,994.3,65.0,CRUISE,6424
2026-06-14 16:17:03,3d1186,DEEWS,Germany,50.5984,9.0709,3200.0,242.6,-65.0,LOW ALT,7743
2026-06-14 16:17:03,3d34d5,DESGJ,Germany,48.2555,8.8781,5000.0,151.2,449.0,CLIMBING,4452
2026-06-14 16:17:03,48d002,SPWAC,Poland,49.1963,14.0546,24000.0,350.7,0.0,CRUISE,0246
2026-06-14 16:17:03,4068f5,EXS61PK,United Kingdom,49.4281,8.3974,37000.0,959.9,65.0,CRUISE,3461
2026-06-14 16:17:03,4068cb,EXS411,United Kingdom,47.1326,10.4629,33025.0,834.7,0.0,CRUISE,7507
2026-06-14 16:17:03,440065,EJU79VD,Austria,47.5984,7.4567,31025.0,899.8,65.0,CRUISE,1000
2026-06-14 16:17:03,484fdf,KLM33J,Kingdom of the Netherlands,48.6062,7.0178,36725.0,891.8,-961.0,DESCENDING,1000
2026-06-14 16:17:03,440073,EJU43FB,Austria,51.8276,7.2767,32775.0,696.0,-961.0,DESCENDING,1000
2026-06-14 16:17:03,440017,OEANN,Austria,47.377,9.6878,1600.0,129.8,-768.0,DESCENDING,7000
2026-06-14 16:17:03,440036,EJU59FK,Austria,48.7778,12.2607,30000.0,830.9,0.0,CRUISE,1000
2026-06-14 16:17:03,44001b,AUA214P,Austria,49.9551,8.5535,3250.0,337.3,2368.0,CLIMBING,1000
2026-06-14 16:17:03,4891ad,ENT429,Poland,47.0989,10.7404,37000.0,889.3,128.0,CRUISE,3462
2026-06-14 16:17:03,471d63,WZZ3GV,Hungary,52.3977,14.034,6125.0,467.4,-1344.0,DESCENDING,5146
2026-06-14 16:17:03,471d5e,WZZ645,Hungary,47.262,14.2547,36000.0,716.1,0.0,CRUISE,7377
2026-06-14 16:17:03,40697c,EFW6DG,United Kingdom,47.3178,8.2555,35950.0,767.8,0.0,CRUISE,2245
2026-06-14 16:17:03,440184,AUA7K,Austria,50.5179,9.9625,37975.0,770.4,-65.0,CRUISE,6603
2026-06-14 16:17:03,47878d,NOZ1610,Norway,47.5906,7.5288,950.0,276.7,-896.0,DESCENDING,0762
2026-06-14 16:17:03,45caa1,DTR197,Denmark,49.2617,10.9188,17975.0,419.6,0.0,CRUISE,1000
2026-06-14 16:17:03,471dc1,WZZ839,Hungary,50.7871,8.5188,33000.0,974.3,65.0,CRUISE,1000
2026-06-14 16:17:03,471db3,WMT9SW,Hungary,52.1178,14.0613,17200.0,721.8,2368.0,CLIMBING,1000
2026-06-14 16:17:03,3d489c,DEZTC,Germany,49.4057,10.188,3700.0,237.1,65.0,LOW ALT,
2026-06-14 16:17:03,403144,GBSDH,United Kingdom,50.3729,7.6269,6900.0,213.7,-65.0,LOW ALT,4451
2026-06-14 16:17:03,4079f6,BAW578,United Kingdom,47.1286,7.9146,35000.0,881.3,0.0,CRUISE,7314
2026-06-14 16:17:03,44cdce,BEL2HJ,Belgium,52.5385,13.6511,8050.0,485.9,-449.0,DESCENDING,1000
2026-06-14 16:17:03,4bb268,THY1FY,Turkey,47.3441,7.5476,9275.0,556.7,-1089.0,DESCENDING,0221
2026-06-14 16:17:03,4bb26e,THY1UP,Turkey,48.3511,11.8859,2550.0,255.1,-705.0,DESCENDING,1000
2026-06-14 16:17:03,4bb287,THY3ZA,Turkey,52.379,13.6099,1450.0,232.2,-705.0,DESCENDING,1000
2026-06-14 16:17:03,4bb282,THY3UY,Turkey,47.4451,8.734,3775.0,281.4,-833.0,DESCENDING,6040
2026-06-14 16:17:03,3d32cd,DERMJ,Germany,51.891,9.6535,3075.0,224.0,-128.0,LOW ALT,7743
2026-06-14 16:17:03,506cab,RMB3,Slovenia,50.2206,12.0396,40000.0,710.7,-65.0,CRUISE,0605
2026-06-14 16:17:03,8005f2,AIC155,India,51.8755,7.5965,33175.0,632.1,-1472.0,DESCENDING,1000
2026-06-14 16:17:03,3d476c,DEZHK,Germany,47.9047,7.6278,2225.0,144.9,-65.0,LOW ALT,
2026-06-14 16:17:03,3caaab,DBJUK,Germany,47.1118,8.0797,38000.0,850.4,-65.0,CRUISE,1064
2026-06-14 16:17:03,44ce61,BEL8UK,Belgium,50.1284,8.8771,4625.0,412.5,-577.0,DESCENDING,1000
2026-06-14 16:17:03,8963e6,UAE70M,United Arab Emirates,49.2107,11.5811,41000.0,804.7,0.0,CRUISE,0532
2026-06-14 16:17:03,4ac9f0,SAS71T,Sweden,49.3948,11.9147,39025.0,865.8,-65.0,CRUISE,0731
2026-06-14 16:17:03,3d31ce,DERCO,Germany,50.4607,7.371,4600.0,170.4,-65.0,LOW ALT,7000
2026-06-14 16:17:03,4d02b7,JFA30M,Luxembourg,47.8142,10.8036,17225.0,582.1,-1663.0,DESCENDING,5713
2026-06-14 16:17:03,3e0fee,CHX45,Germany,47.6399,9.4995,1800.0,253.2,256.0,LOW ALT,
2026-06-14 16:17:03,3e0feb,CHX56,Germany,48.3835,8.0235,950.0,120.9,-640.0,DESCENDING,
2026-06-14 16:17:03,4d02a1,JFA99X,Luxembourg,48.1314,7.3872,6375.0,315.7,-2368.0,DESCENDING,6304
2026-06-14 16:17:03,896464,ETD47,United Arab Emirates,48.1282,9.5231,37975.0,793.8,0.0,CRUISE,7540
2026-06-14 16:17:03,896442,ETD917,United Arab Emirates,52.0355,7.598,28200.0,633.7,-961.0,DESCENDING,3207
2026-06-14 16:17:03,4d02da,JFA96B,Luxembourg,52.7474,14.7463,42975.0,718.3,0.0,CRUISE,1000
2026-06-14 16:17:03,3c49cb,EWG3JN,Germany,51.3722,7.0813,3800.0,398.3,-1024.0,DESCENDING,1000
