fetched_at,icao24,callsign,origin_country,latitude,longitude,baro_altitude_ft,velocity_kmh,vertical_rate_fpm,phase,squawk
2026-06-14 16:16:32,39de43,TVF35DL,France,50.1573,10.8225,38000.0,701.2,0.0,CRUISE,1000
2026-06-14 16:16:32,44028c,EJU394K,Austria,48.5044,7.0866,13700.0,666.9,-1728.0,DESCENDING,1000
2026-06-14 16:16:32,4bc8c3,PGT77PX,Turkey,49.3487,9.4294,34975.0,962.6,0.0,CRUISE,0101
2026-06-14 16:16:32,511170,MBU2QV,Estonia,51.0624,11.5924,18625.0,669.5,2047.0,CLIMBING,1000
2026-06-14 16:16:32,44029f,AUA21E,Austria,50.3104,11.4927,26875.0,599.2,-1472.0,DESCENDING,1000
2026-06-14 16:16:32,4acb23,NSZ3747,Sweden,53.2231,11.4583,36000.0,816.8,-65.0,CRUISE,7362
2026-06-14 16:16:32,3c5ef0,EWG7XR,Germany,50.6318,7.9096,20300.0,805.5,1728.0,CLIMBING,7705
2026-06-14 16:16:32,50040a,EJO1X,,47.6788,11.4613,43000.0,783.8,0.0,CRUISE,3555
2026-06-14 16:16:32,46b821,AEE510,Greece,48.3906,10.8313,22600.0,644.4,-1472.0,DESCENDING,1000
2026-06-14 16:16:32,46b823,AEE6TH,Greece,48.0358,10.9962,36025.0,733.5,0.0,CRUISE,1000
2026-06-14 16:16:32,4acb5a,SAS2697,Sweden,47.6095,11.7876,32925.0,808.4,-1535.0,DESCENDING,0766
2026-06-14 16:16:32,4aca84,NSZ2940,Sweden,51.286,12.5085,39000.0,889.1,-193.0,CRUISE,6001
2026-06-14 16:16:32,4aca86,NSZ5352,Sweden,48.4586,10.4495,36000.0,847.5,0.0,CRUISE,1000
2026-06-14 16:16:32,4aca90,NOZ72C,Sweden,50.1423,11.4923,39000.0,901.8,0.0,CRUISE,0751
2026-06-14 16:16:32,3d385c,DETPC,Germany,51.0748,9.0502,8975.0,380.7,-512.0,DESCENDING,5012
2026-06-14 16:16:32,3d254e,DEMJM,Germany,48.4988,7.9354,2350.0,221.4,128.0,LOW ALT,
2026-06-14 16:16:32,471f6b,WZZ93,Hungary,48.6076,9.3258,34975.0,769.1,-65.0,CRUISE,1000
2026-06-14 16:16:32,3945bc,FJBIJ,France,48.0818,7.7251,2550.0,185.5,128.0,LOW ALT,
2026-06-14 16:16:32,407b54,WUK735,United Kingdom,51.472,8.533,36000.0,698.9,0.0,CRUISE,0624
2026-06-14 16:16:32,505ceb,TOM5762,Slovakia,48.8291,9.23,37000.0,946.4,0.0,CRUISE,3457
2026-06-14 16:16:32,47a039,NOZ57GW,Norway,49.1486,12.2467,25600.0,834.3,1856.0,CLIMBING,6443
