fetched_at,icao24,callsign,origin_country,latitude,longitude,baro_altitude_ft,velocity_kmh,vertical_rate_fpm,phase,squawk
2026-06-14 16:21:35,39de43,TVF35DL,France,50.1063,10.0445,38000.0,683.7,0.0,CRUISE,1000
2026-06-14 16:21:35,44028c,EJU394K,Austria,48.7078,7.675,6375.0,545.8,-1024.0,DESCENDING,1000
2026-06-14 16:21:35,4bc8c3,PGT77PX,Turkey,48.9755,10.3475,35000.0,960.9,0.0,CRUISE,0101
2026-06-14 16:21:35,511170,MBU2QV,Estonia,50.7036,11.0057,27700.0,749.1,1472.0,CLIMBING,1000
2026-06-14 16:21:35,4bc8d2,PGT839Q,Turkey,47.2665,14.5052,36025.0,741.7,0.0,CRUISE,4506
2026-06-14 16:21:35,44029f,AUA21E,Austria,50.412,10.8338,24000.0,586.2,0.0,CRUISE,1000
2026-06-14 16:21:35,3c5ef0,EWG7XR,Germany,50.4062,8.8678,29175.0,947.7,640.0,CLIMBING,7705
2026-06-14 16:21:35,50040a,EJO1X,,48.0405,10.7865,43000.0,793.7,-65.0,CRUISE,3555
2026-06-14 16:21:35,46b821,AEE510,Greece,48.5712,10.1995,13775.0,591.7,-2240.0,DESCENDING,7425
2026-06-14 16:21:35,46b823,AEE6TH,Greece,48.3849,10.3988,36000.0,715.5,0.0,CRUISE,1000
2026-06-14 16:21:35,4acb5a,SAS2697,Sweden,47.0269,11.6943,29000.0,769.8,0.0,CRUISE,0766
2026-06-14 16:21:35,4aca84,NSZ2940,Sweden,50.6458,12.333,39000.0,873.5,65.0,CRUISE,6001
2026-06-14 16:21:35,4aca86,NSZ5352,Sweden,48.9861,10.9602,36000.0,853.7,0.0,CRUISE,1000
2026-06-14 16:21:35,4aca89,NSZ9WP,Sweden,53.2466,9.2088,36000.0,835.9,0.0,CRUISE,3533
2026-06-14 16:21:35,4aca90,NOZ72C,Sweden,49.4847,11.5548,39000.0,889.5,-65.0,CRUISE,0751
2026-06-14 16:21:35,3d385c,DETPC,Germany,51.161,9.4747,6225.0,377.2,-512.0,DESCENDING,5012
2026-06-14 16:21:35,3d254e,DEMJM,Germany,48.6611,8.0701,2775.0,280.1,-321.0,LOW ALT,7000
2026-06-14 16:21:35,471f6b,WZZ93,Hungary,48.1894,8.7432,35000.0,787.7,0.0,CRUISE,1000
2026-06-14 16:21:35,471f66,WMT7920,Hungary,50.1474,14.0723,7400.0,481.9,3073.0,CLIMBING,
2026-06-14 16:21:35,3945bc,FJBIJ,France,48.1059,7.6242,3750.0,172.9,512.0,CLIMBING,
2026-06-14 16:21:35,407b54,WUK735,United Kingdom,51.5631,7.7225,36000.0,691.8,0.0,CRUISE,0624
2026-06-14 16:21:35,505ceb,TOM5762,Slovakia,48.4924,10.1539,37000.0,954.1,0.0,CRUISE,3457
2026-06-14 16:21:35,47a039,NOZ57GW,Norway,49.7103,12.6568,32325.0,811.8,1791.0,CLIMBING,6443
2026-06-14 16:21:35,407b8b,WUK2UC,United Kingdom,51.5738,13.4039,36000.0,730.5,-65.0,CRUISE,3553
2026-06-14 16:21:35,3c4b2f,DLH717,Germany,51.6224,7.0123,32200.0,1012.6,-1535.0,DESCENDING,0737
2026-06-14 16:21:35,3c4b4b,EWG80E,Germany,47.9482,11.9288,13125.0,684.0,2112.0,CLIMBING,1000
2026-06-14 16:21:35,4aca0a,NSZ6FY,Sweden,52.329,7.071,37000.0,860.4,0.0,CRUISE,1000
2026-06-14 16:21:35,4aca0c,NSZ4BV,Sweden,50.8817,9.7942,36000.0,797.1,0.0,CRUISE,1000
2026-06-14 16:21:35,4aca72,SAS1793,Sweden,49.0751,8.6003,35000.0,851.8,65.0,CRUISE,0757
2026-06-14 16:21:35,471fa9,WZZ3TJ,Hungary,51.5087,7.5861,1600.0,269.0,2880.0,CLIMBING,
2026-06-14 16:21:35,4b51ea,HB3395,Switzerland,47.0171,9.5366,6925.0,76.8,-65.0,LOW ALT,
2026-06-14 16:21:35,4aca4f,NSZ4357,Sweden,50.9472,13.5368,37000.0,904.8,0.0,CRUISE,1000
