fetched_at,icao24,callsign,origin_country,latitude,longitude,baro_altitude_ft,velocity_kmh,vertical_rate_fpm,phase,squawk
2026-06-14 16:11:30,aa9300,UAL927,United States,50.8012,7.0232,26000.0,724.4,961.0,CLIMBING,2547
2026-06-14 16:11:30,39de43,TVF35DL,France,50.2065,11.6761,36425.0,659.7,705.0,CLIMBING,1000
2026-06-14 16:11:30,4bc8c3,PGT77PX,Turkey,49.6596,8.359,35000.0,966.8,0.0,CRUISE,0101
2026-06-14 16:11:30,511170,MBU2QV,Estonia,51.3753,12.1208,5550.0,427.3,3520.0,CLIMBING,1000
2026-06-14 16:11:30,44029f,AUA21E,Austria,50.1837,12.2775,32000.0,673.3,0.0,CRUISE,1000
2026-06-14 16:11:30,4acb23,NSZ3747,Sweden,52.5681,11.4471,39000.0,826.1,0.0,CRUISE,7362
2026-06-14 16:11:30,3c5ef0,EWG7XR,Germany,50.7812,7.0975,5050.0,532.7,3968.0,CLIMBING,7705
2026-06-14 16:11:30,50040a,EJO1X,,47.2881,12.1719,43000.0,777.8,0.0,CRUISE,2006
2026-06-14 16:11:30,46b821,AEE510,Greece,48.1733,11.5702,28000.0,738.6,0.0,CRUISE,7425
2026-06-14 16:11:30,46b823,AEE6TH,Greece,47.6468,11.6465,36000.0,735.8,0.0,CRUISE,1000
2026-06-14 16:11:30,4acb5a,SAS2697,Sweden,48.2735,11.8355,36000.0,851.0,0.0,CRUISE,0766
2026-06-14 16:11:30,3ffbb1,DMEBC,Germany,48.0558,9.3679,1725.0,0.0,-65.0,LOW ALT,
2026-06-14 16:11:30,4aca84,NSZ2940,Sweden,51.9142,12.9242,38000.0,852.4,0.0,CRUISE,6001
2026-06-14 16:11:30,4aca86,NSZ5352,Sweden,47.862,9.9728,36000.0,859.0,65.0,CRUISE,1000
2026-06-14 16:11:30,4aca90,NOZ72C,Sweden,50.8508,11.4239,39000.0,894.4,0.0,CRUISE,0751
2026-06-14 16:11:30,3d385c,DETPC,Germany,50.9383,8.6858,10000.0,336.3,0.0,CRUISE,5012
2026-06-14 16:11:30,471f6b,WZZ93,Hungary,49.0497,9.9576,34825.0,753.3,961.0,CLIMBING,1000
2026-06-14 16:11:30,471f69,WMT1969,Hungary,49.3126,14.7375,35025.0,1012.6,-65.0,CRUISE,1000
2026-06-14 16:11:30,3945bc,FJBIJ,France,48.0447,7.8169,1825.0,151.1,1217.0,CLIMBING,
2026-06-14 16:11:30,407b54,WUK735,United Kingdom,51.369,9.3912,36000.0,683.2,0.0,CRUISE,0624
2026-06-14 16:11:30,505ceb,TOM5762,Slovakia,49.1853,8.2153,37000.0,957.6,0.0,CRUISE,3457
2026-06-14 16:11:30,47a039,NOZ57GW,Norway,48.6187,11.7949,12975.0,665.7,3073.0,CLIMBING,6443
2026-06-14 16:11:30,407b8f,BAW899,United Kingdom,49.9664,7.0174,38025.0,684.0,65.0,CRUISE,3156
2026-06-14 16:11:30,4aca04,NSZ5330,Sweden,53.3782,8.2025,38000.0,839.8,65.0,CRUISE,5353
2026-06-14 16:11:30,4aca0c,NSZ4BV,Sweden,49.6825,9.4968,36000.0,794.7,0.0,CRUISE,1000
2026-06-14 16:11:30,4aca72,SAS1793,Sweden,50.3497,8.9386,35000.0,832.5,65.0,CRUISE,0757
2026-06-14 16:11:30,4aca4f,NSZ4357,Sweden,52.3175,13.7696,37000.0,903.4,0.0,CRUISE,1000
2026-06-14 16:11:30,3d2491,DEMCF,Germany,49.2884,8.4584,400.0,109.2,-65.0,LOW ALT,7000
2026-06-14 16:11:30,4401d1,EJU38DP,Austria,52.4518,13.8426,4150.0,317.1,65.0,LOW ALT,6623
2026-06-14 16:11:30,4401d3,OEDFC,Austria,48.1514,8.3574,4475.0,190.5,384.0,LOW ALT,1157
2026-06-14 16:11:30,4bc88e,PGT38QJ,Turkey,48.8275,13.5227,33025.0,997.4,0.0,CRUISE,6424
2026-06-14 16:11:30,4bc89a,PGT78DG,Turkey,47.3507,8.2681,34975.0,909.4,65.0,CRUISE,7553
2026-06-14 16:11:30,3d1186,DEEWS,Germany,50.8172,9.079,3400.0,246.9,0.0,LOW ALT,7743
2026-06-14 16:11:30,4bc887,PGT1158,Turkey,47.2599,14.7521,34975.0,960.4,0.0,CRUISE,2272
2026-06-14 16:11:30,3d34d5,DESGJ,Germany,48.1538,8.989,4900.0,131.6,256.0,LOW ALT,4452
2026-06-14 16:11:30,48d002,SPWAC,Poland,48.9149,13.8651,24000.0,350.0,0.0,CRUISE,0246
2026-06-14 16:11:30,4068f5,EXS61PK,United Kingdom,49.7951,7.2391,37000.0,968.4,0.0,CRUISE,3461
2026-06-14 16:11:30,4068cb,EXS411,United Kingdom,47.7614,9.9051,33025.0,850.9,128.0,CRUISE,7507
2026-06-14 16:11:30,440087,OEDKA,Austria,50.6518,7.017,2550.0,165.0,-65.0,LOW ALT,4451
2026-06-14 16:11:30,440073,EJU43FB,Austria,51.3871,7.9417,38025.0,730.7,65.0,CRUISE,1000
2026-06-14 16:11:30,440017,OEANN,Austria,47.3968,9.7118,1725.0,113.7,449.0,CLIMBING,7000
2026-06-14 16:11:30,440036,EJU59FK,Austria,48.1015,11.8659,29975.0,833.7,-65.0,CRUISE,1000
2026-06-14 16:11:30,4891ad,ENT429,Poland,47.6786,9.9688,36975.0,913.4,65.0,CRUISE,3462
2026-06-14 16:11:30,471d63,WZZ3GV,Hungary,52.1136,14.0365,10050.0,416.9,-384.0,CRUISE,5146
2026-06-14 16:11:30,40697c,EFW6DG,United Kingdom,47.0769,9.181,35975.0,781.1,-65.0,CRUISE,2245
2026-06-14 16:11:30,a748ec,LXJ569,United States,47.4386,8.8414,4950.0,313.8,65.0,LOW ALT,7321
2026-06-14 16:11:30,440184,AUA7K,Austria,50.286,10.9438,38000.0,762.6,65.0,CRUISE,6603
2026-06-14 16:11:30,47878d,NOZ1610,Norway,47.5459,7.56,2000.0,270.1,-961.0,DESCENDING,0762
2026-06-14 16:11:30,45caa1,DTR197,Denmark,49.0729,11.3935,17975.0,418.9,0.0,CRUISE,1000
2026-06-14 16:11:30,471dc1,WZZ839,Hungary,51.1355,7.3643,27300.0,876.5,1280.0,CLIMBING,1000
2026-06-14 16:11:30,471db3,WMT9SW,Hungary,52.2305,13.2671,6125.0,478.7,1600.0,CLIMBING,1000
2026-06-14 16:11:30,3d489c,DEZTC,Germany,49.5921,10.0492,3700.0,218.3,384.0,LOW ALT,
2026-06-14 16:11:30,403144,GBSDH,United Kingdom,50.2859,7.579,3200.0,216.8,-65.0,LOW ALT,4451
2026-06-14 16:11:30,4079f6,BAW578,United Kingdom,47.7925,7.3484,35150.0,909.6,-961.0,DESCENDING,7314
2026-06-14 16:11:30,4bb292,THY3PH,Turkey,50.709,7.3771,2900.0,381.8,0.0,LOW ALT,3106
2026-06-14 16:11:30,44cdce,BEL2HJ,Belgium,52.5993,12.8957,10275.0,586.0,-961.0,DESCENDING,1000
2026-06-14 16:11:30,4bb268,THY1FY,Turkey,47.1205,7.9369,14400.0,627.7,-1472.0,DESCENDING,0221
2026-06-14 16:11:30,4bb26e,THY1UP,Turkey,48.3164,12.3118,5100.0,461.2,-833.0,DESCENDING,1000
2026-06-14 16:11:30,4bb287,THY3ZA,Turkey,52.4691,14.0,5550.0,415.7,-1472.0,DESCENDING,1000
2026-06-14 16:11:30,4bb282,THY3UY,Turkey,47.5516,9.0417,7225.0,381.4,-512.0,DESCENDING,6040
2026-06-14 16:11:30,506ca3,RMB1,Slovenia,47.2832,8.4544,39000.0,859.7,0.0,CRUISE,2367
2026-06-14 16:11:30,3d32cd,DERMJ,Germany,52.0579,9.8112,3675.0,213.2,-193.0,LOW ALT,7743
2026-06-14 16:11:30,506cab,RMB3,Slovenia,49.6673,12.3536,38000.0,674.2,0.0,CRUISE,0605
2026-06-14 16:11:30,8005f2,AIC155,India,51.4407,8.3672,42125.0,825.8,-1280.0,DESCENDING,1000
2026-06-14 16:11:30,3d476c,DEZHK,Germany,47.8223,7.6089,2650.0,131.4,-65.0,LOW ALT,
2026-06-14 16:11:30,44ce61,BEL8UK,Belgium,50.1808,8.2819,10650.0,633.8,-961.0,DESCENDING,1000
2026-06-14 16:11:30,80073d,AIC113,India,49.1836,7.6268,40000.0,768.6,0.0,CRUISE,3562
2026-06-14 16:11:30,8963e6,UAE70M,United Arab Emirates,48.9279,12.5677,41000.0,806.7,0.0,CRUISE,0532
2026-06-14 16:11:30,4ac9f0,SAS71T,Sweden,50.1513,11.9714,39025.0,875.2,0.0,CRUISE,0731
2026-06-14 16:11:30,3d31ce,DERCO,Germany,50.373,7.3558,3000.0,140.7,-65.0,LOW ALT,
2026-06-14 16:11:30,4d02b7,JFA30M,Luxembourg,47.5939,10.1621,22000.0,561.7,65.0,CRUISE,5713
2026-06-14 16:11:30,3e0feb,CHX56,Germany,48.3868,7.9617,1700.0,246.0,-256.0,LOW ALT,
2026-06-14 16:11:30,896464,ETD47,United Arab Emirates,47.642,10.2657,37975.0,813.6,-65.0,CRUISE,7540
2026-06-14 16:11:30,896442,ETD917,United Arab Emirates,51.7734,8.4743,33975.0,749.6,-384.0,CRUISE,3207
2026-06-14 16:11:30,4064a4,TOM1WY,United Kingdom,48.5764,11.446,37000.0,984.6,0.0,CRUISE,3444
2026-06-14 16:11:30,3ddc78,CHX43,Germany,48.5632,8.0692,1600.0,242.4,0.0,LOW ALT,
2026-06-14 16:11:30,4bb074,THY9VA,Turkey,52.4863,10.2463,7425.0,362.5,-1535.0,DESCENDING,1000
2026-06-14 16:11:30,3ff9f0,DMWTN,Germany,49.7234,8.5685,2750.0,189.0,-128.0,LOW ALT,4450
2026-06-14 16:11:30,4b1e69,HBLNL,Switzerland,47.1873,7.4575,1800.0,204.1,-512.0,DESCENDING,7000
2026-06-14 16:11:30,89659b,ETD7L1,United Arab Emirates,49.5762,14.4882,38000.0,779.9,0.0,CRUISE,1000
2026-06-14 16:11:30,461f9b,FIN5DL,Finland,49.2209,8.8704,31400.0,823.9,-1472.0,DESCENDING,1000
2026-06-14 16:11:30,3e781a,DKKRI,Germany,48.151,9.5918,5175.0,197.7,-65.0,LOW ALT,7000
2026-06-14 16:11:30,896596,ETD71M,United Arab Emirates,47.0895,12.711,37000.0,1004.7,65.0,CRUISE,2714
2026-06-14 16:11:30,48af0e,LOT34P,Poland,47.8617,14.3564,40000.0,734.2,65.0,CRUISE,1000
2026-06-14 16:11:30,3009b3,DLH3UY,Italy,48.3446,11.1296,33000.0,911.9,0.0,CRUISE,1000
2026-06-14 16:11:30,3009b6,DLA08E,Italy,49.5742,9.5875,20350.0,809.1,2047.0,CLIMBING,1000
2026-06-14 16:11:30,48af07,LOT335,Poland,50.0855,8.4272,38000.0,677.1,65.0,CRUISE,1000
2026-06-14 16:11:30,48af06,LOT2161,Poland,48.0077,8.4267,38000.0,780.0,0.0,CRUISE,1000
2026-06-14 16:11:30,48af02,LOT2151,Poland,50.1066,12.5347,38000.0,714.9,65.0,CRUISE,1000
2026-06-14 16:11:30,48af00,LOT440,Poland,47.0681,14.0159,39000.0,872.8,65.0,CRUISE,1000
2026-06-14 16:11:30,89653b,ETD2KQ,United Arab Emirates,50.9407,14.3245,37975.0,822.0,-65.0,CRUISE,6635
2026-06-14 16:11:30,3d3262,DERIG,Germany,49.3953,8.4231,9500.0,210.9,-65.0,LOW ALT,4451
2026-06-14 16:11:30,48adae,LOT4PK,Poland,47.1231,7.2874,31000.0,794.4,-65.0,CRUISE,1000
2026-06-14 16:11:30,3c48f0,LHX1PX,Germany,49.3892,12.3077,21150.0,724.4,-1919.0,DESCENDING,1000
2026-06-14 16:11:30,3c48ee,EWG2XZ,Germany,48.9298,9.2048,16700.0,634.2,2817.0,CLIMBING,3741
2026-06-14 16:11:30,484cbc,KLM843,Kingdom of the Netherlands,51.3763,11.2592,31000.0,1076.6,65.0,CRUISE,0153
2026-06-14 16:11:30,4d028d,LRQ247G,Luxembourg,49.4353,8.8591,40000.0,733.6,-65.0,CRUISE,1000
2026-06-14 16:11:30,3ff8cc,DMWUE,Germany,49.8168,9.8987,925.0,0.0,0.0,LOW ALT,
2026-06-14 16:11:30,3da5cb,DGJAP,Germany,50.2263,10.4019,12000.0,247.9,0.0,CRUISE,7421
2026-06-14 16:11:30,3cce70,FCK1EL,Germany,52.3235,10.6388,1150.0,227.1,-577.0,DESCENDING,1000
2026-06-14 16:11:30,0201a1,RAM811D,Morocco,49.9327,8.5312,3925.0,374.5,768.0,CLIMBING,2563
2026-06-14 16:11:30,4794f2,NSZ5504,Norway,52.2212,7.9826,39000.0,863.5,0.0,CRUISE,1000
2026-06-14 16:11:30,407930,BAW867,United Kingdom,50.2788,11.4091,37975.0,709.2,65.0,CRUISE,6611
2026-06-14 16:11:30,40796a,TOM318,United Kingdom,47.95,11.4497,35000.0,970.8,0.0,CRUISE,5264
2026-06-14 16:11:30,4d00d7,LGL8854,Luxembourg,49.4316,10.5467,24000.0,513.0,65.0,CRUISE,1000
2026-06-14 16:11:30,3e641c,DKDCM,Germany,49.6528,7.7111,3975.0,125.1,-65.0,LOW ALT,7000
2026-06-14 16:11:30,4b1bb7,HBKMX,Switzerland,47.6106,8.7638,4200.0,142.0,321.0,LOW ALT,4250
2026-06-14 16:11:30,49d3bb,TVS26D,Czech Republic,47.5597,14.8642,34000.0,766.0,0.0,CRUISE,5535
2026-06-14 16:11:30,49d3d4,TVS2CD,Czech Republic,50.0903,14.2819,1300.0,260.4,-768.0,DESCENDING,1000
