fetched_at,icao24,callsign,origin_country,latitude,longitude,baro_altitude_ft,velocity_kmh,vertical_rate_fpm,phase,squawk
2026-06-14 16:24:06,39de43,TVF35DL,France,50.0774,9.6338,38050.0,689.7,65.0,CRUISE,1000
2026-06-14 16:24:06,44028c,EJU394K,Austria,48.6793,7.8636,4200.0,377.0,-1152.0,DESCENDING,1000
2026-06-14 16:24:06,4bc8c3,PGT77PX,Turkey,48.8037,10.8467,35000.0,962.6,-65.0,CRUISE,0101
2026-06-14 16:24:06,511170,MBU2QV,Estonia,50.4567,10.7342,30000.0,810.6,0.0,CRUISE,1000
2026-06-14 16:24:06,4bc8d2,PGT839Q,Turkey,47.5086,14.2853,35950.0,736.0,0.0,CRUISE,4506
2026-06-14 16:24:06,44029f,AUA21E,Austria,50.3321,10.4986,21625.0,594.3,-1024.0,DESCENDING,1000
2026-06-14 16:24:06,511195,MBU8BX,Estonia,49.5021,10.8918,6225.0,481.2,3841.0,CLIMBING,6652
2026-06-14 16:24:06,3c5ef0,EWG7XR,Germany,50.2704,9.4255,31025.0,960.3,128.0,CRUISE,7705
2026-06-14 16:24:06,50040a,EJO1X,,48.2286,10.429,43000.0,794.3,0.0,CRUISE,3555
2026-06-14 16:24:06,46b821,AEE510,Greece,48.655,9.9011,10050.0,485.4,-833.0,DESCENDING,7425
2026-06-14 16:24:06,46b823,AEE6TH,Greece,48.5648,10.0857,36000.0,709.1,0.0,CRUISE,1000
2026-06-14 16:24:06,44022b,AUA31S,Austria,51.6363,7.1965,30700.0,954.2,1535.0,CLIMBING,1000
2026-06-14 16:24:06,4aca81,NSZ4502,Sweden,48.3601,11.7341,2850.0,333.2,2689.0,CLIMBING,1000
2026-06-14 16:24:06,4aca84,NSZ2940,Sweden,50.3137,12.2448,39000.0,869.9,0.0,CRUISE,6001
2026-06-14 16:24:06,4aca86,NSZ5352,Sweden,49.2634,11.2335,36250.0,835.2,896.0,CLIMBING,1000
2026-06-14 16:24:06,4aca89,NSZ9WP,Sweden,53.0117,8.8423,36000.0,832.0,0.0,CRUISE,3533
2026-06-14 16:24:06,4aca90,NOZ72C,Sweden,49.1425,11.5909,39000.0,881.7,0.0,CRUISE,0751
2026-06-14 16:24:06,3d1289,DEFGR,Germany,47.8491,9.9943,2600.0,154.7,705.0,CLIMBING,
2026-06-14 16:24:06,4aca8e,NOZ1107,Sweden,52.3204,13.4145,3150.0,312.4,1791.0,CLIMBING,7266
2026-06-14 16:24:06,3d385c,DETPC,Germany,51.2476,9.578,3800.0,331.0,-1919.0,DESCENDING,5012
2026-06-14 16:24:06,3d254e,DEMJM,Germany,48.7534,8.1167,1975.0,201.9,-577.0,DESCENDING,7000
2026-06-14 16:24:06,471f6b,WZZ93,Hungary,47.9664,8.4377,35025.0,778.6,0.0,CRUISE,1000
2026-06-14 16:24:06,471f66,WMT7920,Hungary,49.9633,14.2338,12525.0,720.4,2624.0,CLIMBING,
2026-06-14 16:24:06,3945bc,FJBIJ,France,48.1482,7.5607,5200.0,141.4,512.0,CLIMBING,
2026-06-14 16:24:06,407b54,WUK735,United Kingdom,51.6083,7.3006,35975.0,691.1,0.0,CRUISE,0624
2026-06-14 16:24:06,505ceb,TOM5762,Slovakia,48.3273,10.6479,37000.0,953.3,0.0,CRUISE,3457
2026-06-14 16:24:06,47a039,NOZ57GW,Norway,50.0148,12.7573,35950.0,801.7,1535.0,CLIMBING,6443
2026-06-14 16:24:06,407b8b,WUK2UC,United Kingdom,51.6102,12.9516,36025.0,739.4,0.0,CRUISE,3553
2026-06-14 16:24:06,3c4b2f,DLH717,Germany,51.2596,7.2119,27975.0,960.5,-1600.0,DESCENDING,0737
2026-06-14 16:24:06,3c4b4b,EWG80E,Germany,47.6734,11.9447,18975.0,724.2,1984.0,CLIMBING,1000
2026-06-14 16:24:06,4aca0a,NSZ6FY,Sweden,52.6043,7.3716,37000.0,854.2,0.0,CRUISE,1000
2026-06-14 16:24:06,4aca0c,NSZ4BV,Sweden,51.1868,9.8972,36000.0,812.6,0.0,CRUISE,1000
2026-06-14 16:24:06,4aca72,SAS1793,Sweden,48.7765,8.4462,35000.0,810.5,65.0,CRUISE,0757
2026-06-14 16:24:06,471fa9,WZZ3TJ,Hungary,51.4066,7.507,6150.0,483.6,2752.0,CLIMBING,7640
2026-06-14 16:24:06,4b51ea,HB3395,Switzerland,47.032,9.5348,6825.0,116.8,-65.0,LOW ALT,
2026-06-14 16:24:06,4aca4f,NSZ4357,Sweden,50.6018,13.4802,37000.0,893.4,65.0,CRUISE,1000
2026-06-14 16:24:06,4bc856,PGT49PK,Turkey,52.1185,14.1534,10950.0,431.5,-961.0,DESCENDING,1000
2026-06-14 16:24:06,4bc855,PGT56HD,Turkey,49.4725,9.9378,23925.0,852.5,1407.0,CLIMBING,7707
2026-06-14 16:24:06,4401d3,OEDFC,Austria,48.0709,7.8837,2250.0,168.4,-705.0,DESCENDING,7000
2026-06-14 16:24:06,4521bf,GPX8KW,Bulgaria,47.2846,14.3376,36000.0,731.6,65.0,CRUISE,6526
2026-06-14 16:24:06,4bc88c,PGT77EK,Turkey,49.9561,14.5583,5475.0,350.6,-1984.0,DESCENDING,4571
2026-06-14 16:24:06,3d1186,DEEWS,Germany,50.3355,9.058,3200.0,246.6,0.0,LOW ALT,4450
2026-06-14 16:24:06,3d34d5,DESGJ,Germany,48.3902,8.7424,4900.0,158.7,321.0,LOW ALT,4452
2026-06-14 16:24:06,3d34d8,DESGM,Germany,47.8271,10.2927,3950.0,176.2,0.0,LOW ALT,
2026-06-14 16:24:06,48d002,SPWAC,Poland,49.5322,14.284,24000.0,349.0,0.0,CRUISE,0246
2026-06-14 16:24:06,4068f5,EXS61PK,United Kingdom,48.944,9.7363,37000.0,957.0,0.0,CRUISE,3461
2026-06-14 16:24:06,484fdf,KLM33J,Kingdom of the Netherlands,47.7534,7.5778,35000.0,890.1,0.0,CRUISE,1000
2026-06-14 16:24:06,440036,EJU59FK,Austria,49.5743,12.7458,30000.0,823.2,65.0,CRUISE,1000
2026-06-14 16:24:06,44001b,AUA214P,Austria,49.865,9.5343,16550.0,826.0,2047.0,CLIMBING,1000
2026-06-14 16:24:06,3ffa0b,DMKDY,Germany,49.7293,8.7486,3425.0,209.6,-65.0,LOW ALT,7000
2026-06-14 16:24:06,471d63,WZZ3GV,Hungary,52.3941,13.5966,1250.0,233.9,-705.0,DESCENDING,5146
2026-06-14 16:24:06,471d5e,WZZ645,Hungary,47.8268,13.5398,36000.0,705.1,0.0,CRUISE,7377
2026-06-14 16:24:06,40697c,EFW6DG,United Kingdom,47.6145,7.1494,36000.0,771.4,0.0,CRUISE,2245
2026-06-14 16:24:06,506df0,S5DVV,Slovenia,48.4029,10.257,3000.0,204.3,0.0,LOW ALT,7000
2026-06-14 16:24:06,440184,AUA7K,Austria,50.7859,8.7684,38000.0,767.2,0.0,CRUISE,6603
2026-06-14 16:24:06,45caa8,SEH872,Denmark,49.5782,14.9988,35975.0,688.0,-128.0,CRUISE,6630
2026-06-14 16:24:06,300a7c,DLA8LL,Italy,47.0477,11.328,27425.0,824.1,-2689.0,DESCENDING,1000
2026-06-14 16:24:06,45caa1,DTR197,Denmark,49.4844,10.3478,17975.0,415.1,0.0,CRUISE,1000
2026-06-14 16:24:06,471dc1,WZZ839,Hungary,50.4681,10.0492,35050.0,988.7,0.0,CRUISE,1000
2026-06-14 16:24:06,4bb2ab,TKJ70Z,Turkey,49.8759,8.7784,8700.0,569.5,2303.0,CLIMBING,7660
2026-06-14 16:24:06,3d489c,DEZTC,Germany,49.1771,10.3473,3700.0,239.4,0.0,LOW ALT,
2026-06-14 16:24:06,403144,GBSDH,United Kingdom,50.3809,7.6517,5800.0,209.8,-65.0,LOW ALT,4451
2026-06-14 16:24:06,3c4a02,DLH6EE,Germany,48.4989,11.5103,12325.0,561.7,2624.0,CLIMBING,1000
2026-06-14 16:24:06,44cdce,BEL2HJ,Belgium,52.4359,13.8522,3225.0,285.5,-449.0,DESCENDING,1000
2026-06-14 16:24:06,4bb268,THY1FY,Turkey,47.5087,7.5856,2925.0,293.3,-640.0,DESCENDING,0221
2026-06-14 16:24:06,3efe8f,D7672,Germany,51.4479,7.8252,1850.0,110.8,-65.0,LOW ALT,
2026-06-14 16:24:06,3d32cd,DERMJ,Germany,51.6838,9.5451,2950.0,235.7,-321.0,LOW ALT,7000
2026-06-14 16:24:06,506cab,RMB3,Slovenia,50.9293,11.6245,40000.0,727.9,-65.0,CRUISE,0605
2026-06-14 16:24:06,8005f0,AIC151,India,47.3338,8.6737,7800.0,526.0,-1089.0,DESCENDING,1000
2026-06-14 16:24:06,3d3432,DESAC,Germany,47.718,9.0867,2925.0,204.6,-65.0,LOW ALT,
2026-06-14 16:24:06,3d476c,DEZHK,Germany,47.8963,7.6041,725.0,125.0,-65.0,LOW ALT,
2026-06-14 16:24:06,3caaab,DBJUK,Germany,47.9521,8.5118,38000.0,845.8,0.0,CRUISE,1064
2026-06-14 16:24:06,8963e6,UAE70M,United Arab Emirates,49.5506,10.4001,41000.0,808.1,0.0,CRUISE,0532
2026-06-14 16:24:06,4ac9f0,SAS71T,Sweden,48.5056,11.85,39000.0,825.0,-65.0,CRUISE,0731
2026-06-14 16:24:06,4ac9ef,SAS2669,Sweden,53.4382,13.758,19950.0,778.0,-2752.0,DESCENDING,1000
2026-06-14 16:24:06,3d31ce,DERCO,Germany,50.5773,7.3185,2200.0,184.8,-65.0,LOW ALT,7000
2026-06-14 16:24:06,4d02b7,JFA30M,Luxembourg,48.1264,11.535,10825.0,547.7,-1663.0,DESCENDING,5713
2026-06-14 16:24:06,4d02a1,JFA99X,Luxembourg,48.0918,7.3538,900.0,181.6,-768.0,DESCENDING,6304
2026-06-14 16:24:06,896464,ETD47,United Arab Emirates,48.6708,8.5891,38000.0,786.6,0.0,CRUISE,7540
